DateKey,FullDateAlternateKey,week,month,month number,Quarter,year,fiscal Quarter,fiscal year
20050101,2005-01-01,Saturday,Jan,1,1,2005,3,2005
20050102,2005-01-02,Sunday,Jan,1,1,2005,3,2005
20050103,2005-01-03,Monday,Jan,1,1,2005,3,2005
20050104,2005-01-04,Tuesday,Jan,1,1,2005,3,2005
20050105,2005-01-05,Wednesday,Jan,1,1,2005,3,2005
20050106,2005-01-06,Thursday,Jan,1,1,2005,3,2005
20050107,2005-01-07,Friday,Jan,1,1,2005,3,2005
20050108,2005-01-08,Saturday,Jan,1,1,2005,3,2005
20050109,2005-01-09,Sunday,Jan,1,1,2005,3,2005
20050110,2005-01-10,Monday,Jan,1,1,2005,3,2005
20050111,2005-01-11,Tuesday,Jan,1,1,2005,3,2005
20050112,2005-01-12,Wednesday,Jan,1,1,2005,3,2005
20050113,2005-01-13,Thursday,Jan,1,1,2005,3,2005
20050114,2005-01-14,Friday,Jan,1,1,2005,3,2005
20050115,2005-01-15,Saturday,Jan,1,1,2005,3,2005
20050116,2005-01-16,Sunday,Jan,1,1,2005,3,2005
20050117,2005-01-17,Monday,Jan,1,1,2005,3,2005
20050118,2005-01-18,Tuesday,Jan,1,1,2005,3,2005
20050119,2005-01-19,Wednesday,Jan,1,1,2005,3,2005
20050120,2005-01-20,Thursday,Jan,1,1,2005,3,2005
20050121,2005-01-21,Friday,Jan,1,1,2005,3,2005
20050122,2005-01-22,Saturday,Jan,1,1,2005,3,2005
20050123,2005-01-23,Sunday,Jan,1,1,2005,3,2005
20050124,2005-01-24,Monday,Jan,1,1,2005,3,2005
20050125,2005-01-25,Tuesday,Jan,1,1,2005,3,2005
20050126,2005-01-26,Wednesday,Jan,1,1,2005,3,2005
20050127,2005-01-27,Thursday,Jan,1,1,2005,3,2005
20050128,2005-01-28,Friday,Jan,1,1,2005,3,2005
20050129,2005-01-29,Saturday,Jan,1,1,2005,3,2005
20050130,2005-01-30,Sunday,Jan,1,1,2005,3,2005
20050131,2005-01-31,Monday,Jan,1,1,2005,3,2005
20050201,2005-02-01,Tuesday,Feb,2,1,2005,3,2005
20050202,2005-02-02,Wednesday,Feb,2,1,2005,3,2005
20050203,2005-02-03,Thursday,Feb,2,1,2005,3,2005
20050204,2005-02-04,Friday,Feb,2,1,2005,3,2005
20050205,2005-02-05,Saturday,Feb,2,1,2005,3,2005
20050206,2005-02-06,Sunday,Feb,2,1,2005,3,2005
20050207,2005-02-07,Monday,Feb,2,1,2005,3,2005
20050208,2005-02-08,Tuesday,Feb,2,1,2005,3,2005
20050209,2005-02-09,Wednesday,Feb,2,1,2005,3,2005
20050210,2005-02-10,Thursday,Feb,2,1,2005,3,2005
20050211,2005-02-11,Friday,Feb,2,1,2005,3,2005
20050212,2005-02-12,Saturday,Feb,2,1,2005,3,2005
20050213,2005-02-13,Sunday,Feb,2,1,2005,3,2005
20050214,2005-02-14,Monday,Feb,2,1,2005,3,2005
20050215,2005-02-15,Tuesday,Feb,2,1,2005,3,2005
20050216,2005-02-16,Wednesday,Feb,2,1,2005,3,2005
20050217,2005-02-17,Thursday,Feb,2,1,2005,3,2005
20050218,2005-02-18,Friday,Feb,2,1,2005,3,2005
20050219,2005-02-19,Saturday,Feb,2,1,2005,3,2005
20050220,2005-02-20,Sunday,Feb,2,1,2005,3,2005
20050221,2005-02-21,Monday,Feb,2,1,2005,3,2005
20050222,2005-02-22,Tuesday,Feb,2,1,2005,3,2005
20050223,2005-02-23,Wednesday,Feb,2,1,2005,3,2005
20050224,2005-02-24,Thursday,Feb,2,1,2005,3,2005
20050225,2005-02-25,Friday,Feb,2,1,2005,3,2005
20050226,2005-02-26,Saturday,Feb,2,1,2005,3,2005
20050227,2005-02-27,Sunday,Feb,2,1,2005,3,2005
20050228,2005-02-28,Monday,Feb,2,1,2005,3,2005
20050301,2005-03-01,Tuesday,Mar,3,1,2005,3,2005
20050302,2005-03-02,Wednesday,Mar,3,1,2005,3,2005
20050303,2005-03-03,Thursday,Mar,3,1,2005,3,2005
20050304,2005-03-04,Friday,Mar,3,1,2005,3,2005
20050305,2005-03-05,Saturday,Mar,3,1,2005,3,2005
20050306,2005-03-06,Sunday,Mar,3,1,2005,3,2005
20050307,2005-03-07,Monday,Mar,3,1,2005,3,2005
20050308,2005-03-08,Tuesday,Mar,3,1,2005,3,2005
20050309,2005-03-09,Wednesday,Mar,3,1,2005,3,2005
20050310,2005-03-10,Thursday,Mar,3,1,2005,3,2005
20050311,2005-03-11,Friday,Mar,3,1,2005,3,2005
20050312,2005-03-12,Saturday,Mar,3,1,2005,3,2005
20050313,2005-03-13,Sunday,Mar,3,1,2005,3,2005
20050314,2005-03-14,Monday,Mar,3,1,2005,3,2005
20050315,2005-03-15,Tuesday,Mar,3,1,2005,3,2005
20050316,2005-03-16,Wednesday,Mar,3,1,2005,3,2005
20050317,2005-03-17,Thursday,Mar,3,1,2005,3,2005
20050318,2005-03-18,Friday,Mar,3,1,2005,3,2005
20050319,2005-03-19,Saturday,Mar,3,1,2005,3,2005
20050320,2005-03-20,Sunday,Mar,3,1,2005,3,2005
20050321,2005-03-21,Monday,Mar,3,1,2005,3,2005
20050322,2005-03-22,Tuesday,Mar,3,1,2005,3,2005
20050323,2005-03-23,Wednesday,Mar,3,1,2005,3,2005
20050324,2005-03-24,Thursday,Mar,3,1,2005,3,2005
20050325,2005-03-25,Friday,Mar,3,1,2005,3,2005
20050326,2005-03-26,Saturday,Mar,3,1,2005,3,2005
20050327,2005-03-27,Sunday,Mar,3,1,2005,3,2005
20050328,2005-03-28,Monday,Mar,3,1,2005,3,2005
20050329,2005-03-29,Tuesday,Mar,3,1,2005,3,2005
20050330,2005-03-30,Wednesday,Mar,3,1,2005,3,2005
20050331,2005-03-31,Thursday,Mar,3,1,2005,3,2005
20050401,2005-04-01,Friday,Apr,4,2,2005,4,2005
20050402,2005-04-02,Saturday,Apr,4,2,2005,4,2005
20050403,2005-04-03,Sunday,Apr,4,2,2005,4,2005
20050404,2005-04-04,Monday,Apr,4,2,2005,4,2005
20050405,2005-04-05,Tuesday,Apr,4,2,2005,4,2005
20050406,2005-04-06,Wednesday,Apr,4,2,2005,4,2005
20050407,2005-04-07,Thursday,Apr,4,2,2005,4,2005
20050408,2005-04-08,Friday,Apr,4,2,2005,4,2005
20050409,2005-04-09,Saturday,Apr,4,2,2005,4,2005
20050410,2005-04-10,Sunday,Apr,4,2,2005,4,2005
20050411,2005-04-11,Monday,Apr,4,2,2005,4,2005
20050412,2005-04-12,Tuesday,Apr,4,2,2005,4,2005
20050413,2005-04-13,Wednesday,Apr,4,2,2005,4,2005
20050414,2005-04-14,Thursday,Apr,4,2,2005,4,2005
20050415,2005-04-15,Friday,Apr,4,2,2005,4,2005
20050416,2005-04-16,Saturday,Apr,4,2,2005,4,2005
20050417,2005-04-17,Sunday,Apr,4,2,2005,4,2005
20050418,2005-04-18,Monday,Apr,4,2,2005,4,2005
20050419,2005-04-19,Tuesday,Apr,4,2,2005,4,2005
20050420,2005-04-20,Wednesday,Apr,4,2,2005,4,2005
20050421,2005-04-21,Thursday,Apr,4,2,2005,4,2005
20050422,2005-04-22,Friday,Apr,4,2,2005,4,2005
20050423,2005-04-23,Saturday,Apr,4,2,2005,4,2005
20050424,2005-04-24,Sunday,Apr,4,2,2005,4,2005
20050425,2005-04-25,Monday,Apr,4,2,2005,4,2005
20050426,2005-04-26,Tuesday,Apr,4,2,2005,4,2005
20050427,2005-04-27,Wednesday,Apr,4,2,2005,4,2005
20050428,2005-04-28,Thursday,Apr,4,2,2005,4,2005
20050429,2005-04-29,Friday,Apr,4,2,2005,4,2005
20050430,2005-04-30,Saturday,Apr,4,2,2005,4,2005
20050501,2005-05-01,Sunday,May,5,2,2005,4,2005
20050502,2005-05-02,Monday,May,5,2,2005,4,2005
20050503,2005-05-03,Tuesday,May,5,2,2005,4,2005
20050504,2005-05-04,Wednesday,May,5,2,2005,4,2005
20050505,2005-05-05,Thursday,May,5,2,2005,4,2005
20050506,2005-05-06,Friday,May,5,2,2005,4,2005
20050507,2005-05-07,Saturday,May,5,2,2005,4,2005
20050508,2005-05-08,Sunday,May,5,2,2005,4,2005
20050509,2005-05-09,Monday,May,5,2,2005,4,2005
20050510,2005-05-10,Tuesday,May,5,2,2005,4,2005
20050511,2005-05-11,Wednesday,May,5,2,2005,4,2005
20050512,2005-05-12,Thursday,May,5,2,2005,4,2005
20050513,2005-05-13,Friday,May,5,2,2005,4,2005
20050514,2005-05-14,Saturday,May,5,2,2005,4,2005
20050515,2005-05-15,Sunday,May,5,2,2005,4,2005
20050516,2005-05-16,Monday,May,5,2,2005,4,2005
20050517,2005-05-17,Tuesday,May,5,2,2005,4,2005
20050518,2005-05-18,Wednesday,May,5,2,2005,4,2005
20050519,2005-05-19,Thursday,May,5,2,2005,4,2005
20050520,2005-05-20,Friday,May,5,2,2005,4,2005
20050521,2005-05-21,Saturday,May,5,2,2005,4,2005
20050522,2005-05-22,Sunday,May,5,2,2005,4,2005
20050523,2005-05-23,Monday,May,5,2,2005,4,2005
20050524,2005-05-24,Tuesday,May,5,2,2005,4,2005
20050525,2005-05-25,Wednesday,May,5,2,2005,4,2005
20050526,2005-05-26,Thursday,May,5,2,2005,4,2005
20050527,2005-05-27,Friday,May,5,2,2005,4,2005
20050528,2005-05-28,Saturday,May,5,2,2005,4,2005
20050529,2005-05-29,Sunday,May,5,2,2005,4,2005
20050530,2005-05-30,Monday,May,5,2,2005,4,2005
20050531,2005-05-31,Tuesday,May,5,2,2005,4,2005
20050601,2005-06-01,Wednesday,Jun,6,2,2005,4,2005
20050602,2005-06-02,Thursday,Jun,6,2,2005,4,2005
20050603,2005-06-03,Friday,Jun,6,2,2005,4,2005
