ProductKey,ProductItemCode,Product Name,Sub Category,Product Category,Product Color,Product Size,Product Line,Product Model Name,Product Description,Product Status
1,AR-5381,NULL,NULL,Adjustable Race,NA,NULL,NULL,NULL,NULL,Current
2,BA-8327,NULL,NULL,Bearing Ball,NA,NULL,NULL,NULL,NULL,Current
3,BE-2349,NULL,NULL,BB Ball Bearing,NA,NULL,NULL,NULL,NULL,Current
4,BE-2908,NULL,NULL,Headset Ball Bearings,NA,NULL,NULL,NULL,NULL,Current
5,BL-2036,NULL,NULL,Blade,NA,NULL,NULL,NULL,NULL,Current
6,CA-5965,NULL,NULL,LL Crankarm,Black,NULL,NULL,NULL,NULL,Current
7,CA-6738,NULL,NULL,ML Crankarm,Black,NULL,NULL,NULL,NULL,Current
8,CA-7457,NULL,NULL,HL Crankarm,Black,NULL,NULL,NULL,NULL,Current
9,CB-2903,NULL,NULL,Chainring Bolts,Silver,NULL,NULL,NULL,NULL,Current
10,CN-6137,NULL,NULL,Chainring Nut,Silver,NULL,NULL,NULL,NULL,Current
11,CR-7833,NULL,NULL,Chainring,Black,NULL,NULL,NULL,NULL,Current
12,CR-9981,NULL,NULL,Crown Race,NA,NULL,NULL,NULL,NULL,Current
13,CS-2812,NULL,NULL,Chain Stays,NA,NULL,NULL,NULL,NULL,Current
14,DC-8732,NULL,NULL,Decal 1,NA,NULL,NULL,NULL,NULL,Current
15,DC-9824,NULL,NULL,Decal 2,NA,NULL,NULL,NULL,NULL,Current
16,DT-2377,NULL,NULL,Down Tube,NA,NULL,NULL,NULL,NULL,Current
17,EC-M092,NULL,NULL,Mountain End Caps,NA,NULL,NULL,NULL,NULL,Current
18,EC-R098,NULL,NULL,Road End Caps,NA,NULL,NULL,NULL,NULL,Current
19,EC-T209,NULL,NULL,Touring End Caps,NA,NULL,NULL,NULL,NULL,Current
20,FE-3760,NULL,NULL,Fork End,NA,NULL,NULL,NULL,NULL,Current
21,FH-2981,NULL,NULL,Freewheel,Silver,NULL,NULL,NULL,NULL,Current
22,FW-1000,NULL,NULL,Flat Washer 1,NA,NULL,NULL,NULL,NULL,Current
23,FW-1200,NULL,NULL,Flat Washer 6,NA,NULL,NULL,NULL,NULL,Current
24,FW-1400,NULL,NULL,Flat Washer 2,NA,NULL,NULL,NULL,NULL,Current
25,FW-3400,NULL,NULL,Flat Washer 9,NA,NULL,NULL,NULL,NULL,Current
26,FW-3800,NULL,NULL,Flat Washer 4,NA,NULL,NULL,NULL,NULL,Current
27,FW-5160,NULL,NULL,Flat Washer 3,NA,NULL,NULL,NULL,NULL,Current
28,FW-5800,NULL,NULL,Flat Washer 8,NA,NULL,NULL,NULL,NULL,Current
29,FW-7160,NULL,NULL,Flat Washer 5,NA,NULL,NULL,NULL,NULL,Current
30,FW-9160,NULL,NULL,Flat Washer 7,NA,NULL,NULL,NULL,NULL,Current
31,FC-3654,NULL,NULL,Fork Crown,NA,NULL,NULL,NULL,NULL,Current
32,FC-3982,NULL,NULL,Front Derailleur Cage,Silver,NULL,NULL,NULL,NULL,Current
33,FL-2301,NULL,NULL,Front Derailleur Linkage,Silver,NULL,NULL,NULL,NULL,Current
34,GP-0982,NULL,NULL,Guide Pulley,NA,NULL,NULL,NULL,NULL,Current
35,GT-0820,NULL,NULL,LL Grip Tape,NA,NULL,NULL,NULL,NULL,Current
36,GT-1209,NULL,NULL,ML Grip Tape,NA,NULL,NULL,NULL,NULL,Current
